feature,delta_verse_2a,delta_prose_2b,reversal_2b,corr_valence,label,url
549,-10.67,-10.67,0.0,0.0,text that involves programming and code structure,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/549
779,0.0,19.81,7.55,-0.784,references to apocalyptic themes and events,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/779
959,8.93,0.0,-6.91,0.305,concepts related to causal inference and statistical modeling,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/959
1413,0.0,13.19,2.56,-0.715,factors related to health conditions and their severity,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1413
1459,-13.86,-16.62,2.08,0.477,concepts related to self-awareness and personal development,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1459
1583,-5.4,-15.99,0.0,0.921,words related to administrative or technical tasks and issues,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1583
1601,0.0,7.7,7.7,0.0,specific operators and indicators within programming or theoretical frameworks,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1601
1692,-0.84,-6.47,-9.41,0.105,legal and technical terminology related to statutes and inventions,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1692
1841,2.58,6.04,0.48,-0.821,"descriptive phrases and their evaluations, particularly regarding appearance and quality",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1841
1878,0.0,0.0,-6.96,-0.513,statements about financial implications and consequences,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/1878
2125,-1.07,-11.58,-7.97,0.869,expressions of anxiety and self-reflection,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/2125
2729,0.0,7.33,7.33,0.0,terms related to isolation and the sense of being left behind,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/2729
3518,6.91,-11.9,-10.86,0.738,phrases indicating disapproval or violation of rules,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/3518
3645,0.78,-10.71,-9.5,0.5,phrases related to measurements or characteristics of products and experiences,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/3645
3743,-10.95,3.13,2.16,-0.698,references to the effects of mood-altering experiences,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/3743
4046,-20.83,-27.41,-3.52,0.369,phrases related to feeling busy or overwhelmed,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-res-16k/4046
